x,y
100.9275,0.006242059
133.0275,0.001816031
155.0475,0.001116504
158.0375,0.003550878
159.0475,0.003338963
167.0925,0.002136032
171.0425,0.001255842
182.0275,0.001548157
187.0025,0.001283365
187.0375,0.001724608
187.0425,0.002723781
198.0325,0.002029595
199.0075,0.001363409
199.0275,0.00130774
199.0375,0.001388799
199.0425,0.009775776
199.0475,0.001441145
200.0425,0.001041945
214.9975,0.004458426
215.0375,0.007979933
226.0225,0.001441357
227.0325,0.00360262
242.9925,0.007206588
243.0025,0.002830874
243.0275,0.028857894
244.0375,0.003257404
270.9875,0.026683854
271.9975,0.002403975
272.0225,0.00304303
272.0375,0.005071123
285.0325,0.003764347
298.9775,0.004271658
298.9875,0.010088156
299.0125,0.011901633
299.0175,0.01378645
299.0225,0.033433378
300.0175,0.006645779
300.0225,0.002506647
301.0225,0.001387314
311.2525,0.002213207
351.2625,0.008939733
351.2775,0.006244934
381.3075,0.01742435
391.2975,0.008788578
477.2325,0.003920798
477.2525,0.017394792
478.2575,0.006135334
493.2425,0.007601911
654.3575,0.026683854
